时间,价格,数量
0,9,0
1,14,262000
2,19,208611
3,25,224054
4,31,223697
5,38,180772
6,45,225402
7,51,213344
8,59,186176
9,65,226493
10,74,165694
11,80,207201
12,86,181911
13,93,207287
14,101,171320
15,107,201492
16,113,194559
17,119,188914
18,125,163988
19,130,166035
20,136,142746
21,142,174412
22,148,164248
23,153,164106
24,158,157754
25,162,182907
26,166,161020
27,171,162192
28,175,151299
29,178,195561
30,182,153572
31,186,159930
32,191,144877
33,196,140900
34,199,151334
35,203,134139
36,209,126755
37,211,177706
38,213,125469
39,216,146981
40,219,137613
41,222,141488
42,227,122925
43,227,150833
44,229,163112
45,234,131945
46,238,128661
47,239,145524
48,241,119325
49,244,141811
50,246,133707
51,247,124438
52,247,147707
53,247,140280
54,249,127764
55,251,136028
56,252,135278
57,256,134746
58,256,133546
59,256,121756
60,257,125822
61,256,140397
62,255,133882
63,256,141876
64,256,130648
65,256,120644
66,257,133041
67,258,122534
68,261,128165
69,263,126972
70,264,125065
71,267,106553
72,268,118770
73,268,129407
74,270,145923
75,271,136451
76,271,146041
77,274,110477
78,274,127721
79,277,126198
80,280,115743
81,280,129134
82,280,139329
83,280,135462
84,280,134542
85,282,113394
86,281,115340
87,280,128574
88,279,139670
89,279,132735
90,281,132889
91,282,116320
92,281,126591
93,282,133070
94,281,126627
95,277,136478
96,275,133681
97,274,119119
98,274,126078
99,273,123182
100,272,128873
101,274,124507
102,275,128415
103,273,132001
104,272,133504
105,274,136876
106,275,144221
107,274,138912
108,273,128013
109,274,120837
110,275,144366
111,277,125108
112,278,120888
113,277,123362
114,277,130691
115,280,117354
116,281,115572
117,281,126329
118,282,132785
119,281,124753
120,280,125713
121,279,132950
122,278,137333
123,279,119533
124,280,110911
125,281,129525
126,283,124715
127,282,122625
128,284,120610
129,284,139331
130,283,119009
131,283,112257
132,281,140699
133,281,123375
134,283,124459
135,280,150857
136,279,120868
137,278,132502
138,277,128092
139,280,119912
140,280,124579
141,278,127233
142,277,116242
143,279,118339
144,280,138857
145,279,122703
146,278,120458
147,276,133408
148,278,124476
149,277,123374
150,278,127405
151,276,136682
152,275,133583
153,275,148540
154,276,125274
155,276,135914
156,278,126173
157,278,134936
158,277,117337
159,278,110594
160,277,131042
161,279,116704
162,279,124189
163,280,128813
164,279,123046
165,280,119321
166,279,125417
167,279,134571
168,279,137116
169,278,121139
170,277,136761
171,277,136225
172,277,118806
173,278,139087
174,276,128982
175,276,116993
176,276,118272
177,276,149809
178,276,147259
179,276,126619
180,276,120549
181,277,121862
182,277,130731
183,278,127394
184,279,127104
185,278,130136
186,278,135328
187,280,133340
188,281,112339
189,281,125461
190,281,128097
191,279,118684
192,279,131554
193,279,133640
194,280,110825
195,279,128404
196,279,114682
197,279,126873
198,276,132406
199,277,129018
200,278,124124
201,279,131869
202,278,122074
203,281,127787
204,282,131500
205,282,137145
206,281,125361
207,286,127167
208,287,115656
209,290,117827
210,290,120893
211,289,129760
212,288,143956
213,287,117974
214,288,118929
215,289,118418
216,289,134057
217,289,138001
218,290,124953
219,288,132713
220,287,133034
221,286,131843
222,286,123841
223,287,119376
224,287,114040
225,285,135965
226,285,121162
227,284,123184
228,282,145706
229,284,140394
230,285,129028
231,285,124765
232,288,119159
233,288,125030
234,287,113886
235,285,120904
236,284,122502
237,286,133848
238,286,114837
239,284,128120
240,281,116809
241,282,125214
242,280,142275
243,283,129895
244,284,121653
245,283,128181
246,283,126152
247,283,135857
248,284,138610
249,283,131482
250,284,127701
251,284,123739
252,283,128895
253,282,121437
254,285,109336
255,285,114509
256,286,128227
257,285,117099
258,286,111171
259,287,136209
260,288,130949
261,289,122752
262,290,116858
263,292,115905
264,288,140225
265,289,129605
266,288,120162
267,289,107691
268,288,126292
269,289,114769
270,290,118648
271,288,118586
272,289,119187
273,289,125640
274,289,113828
275,287,134192
276,287,119101
277,287,115863
278,288,129726
279,288,115516
280,288,112958
281,287,140108
282,286,121551
283,288,111966
284,287,114648
285,288,124797
286,287,137266
287,288,131510
288,286,120444
289,286,130067
290,285,130966
291,282,139148
292,282,122845
293,282,143972
294,284,120762
295,284,124956
296,283,135733
297,283,119179
298,282,127955
299,280,134693
300,282,119772
301,282,144174
302,281,132890
303,282,127505
304,280,125479
305,279,118042
306,279,118133
307,282,127411
308,281,122562
309,280,133909
310,281,109079
311,280,151616
312,282,131551
313,283,122084
314,284,120047
315,284,123384
316,284,120520
317,285,126816
318,287,129633
319,289,117391
320,289,115787
321,290,124614
322,291,119772
323,294,110297
324,295,138621
325,296,117618
326,295,125200
327,294,124343
328,296,120018
329,299,123202
330,297,125824
331,298,121578
332,297,123332
333,297,112743
334,297,126480
335,299,134103
336,298,117371
337,299,118628
338,300,130418
339,299,123056
340,299,129377
341,299,123362
342,295,120909
343,294,119533
344,292,125606
345,290,133493
346,290,118471
347,289,120577
348,289,132188
349,290,123055
350,290,116388
351,291,99171
352,292,131144
353,292,124432
354,291,132349
355,291,120018
356,291,127215
357,290,131302
358,287,111284
359,291,121431
360,292,129107
361,291,114385
362,291,105033
363,290,129654
364,292,122981
365,293,126831
366,294,113954
367,292,119713
368,292,116319
369,290,128307
370,289,124627
371,288,109511
372,286,124096
373,284,141765
374,282,130989
375,282,136770
376,281,136563
377,280,129561
378,280,121152
379,281,116729
380,281,126812
381,279,130522
382,278,146854
383,280,117547
384,279,149942
385,279,131728
386,279,116844
387,279,105118
388,279,124446
389,279,142781
390,278,134879
391,278,133803
392,277,135228
393,278,129446
394,280,110210
395,282,113400
396,281,135488
397,280,131719
398,278,115742
399,278,118322
400,277,131496
401,276,132566
402,279,118015
403,275,134092
404,276,135886
405,275,118534
406,279,119402
407,277,122963
408,276,136111
409,275,119280
410,274,142288
411,273,129859
412,273,126566
413,273,134267
414,270,127921
415,270,138929
416,271,117805
417,270,133754
418,273,127016
419,274,138423
420,277,126316
421,278,135221
422,276,122815
423,278,133650
424,278,133217
425,279,128509
426,282,121399
427,282,118628
428,283,127290
429,283,121070
430,282,122082
431,283,128310
432,282,107848
433,281,119306
434,282,134063
435,280,129972
436,279,143817
437,283,116993
438,285,128131
439,286,110678
440,287,113544
441,288,107455
442,287,130728
443,287,130338
444,288,123899
445,286,127082
446,285,134689
447,284,133056
448,283,139221
449,282,113199
450,281,116857
451,283,107946
452,281,127844
453,282,129099
454,281,123115
455,280,133683
456,277,129596
457,277,122722
458,278,143901
459,279,120135
460,279,126724
461,279,111410
462,282,107007
463,284,119948
464,282,141503
465,280,129835
466,279,118891
467,280,133574
468,280,133460
469,282,143896
470,281,115556
471,283,120701
472,284,143449
473,283,145891
474,284,118212
475,283,118382
476,280,132386
477,281,120761
478,281,122014
479,281,128750
480,282,154696
481,281,117839
482,282,135496
483,283,115670
484,282,126369
485,280,137298
486,282,127281
487,284,135657
488,285,122260
489,282,120716
490,281,122103
491,281,127623
492,280,121223
493,281,134602
494,280,123797
495,286,134513
496,285,133197
497,286,124377
498,289,121360
499,288,120971
500,289,124481
501,290,121217
502,290,109962
503,289,131420
504,292,116666
505,291,136020
506,293,120841
507,293,126002
508,292,139749
509,293,119242
510,293,119295
511,290,120852
512,288,123122
513,288,146375
514,287,118258
515,284,125947
516,284,127162
517,284,133822
518,283,133013
519,281,113326
520,284,118720
521,286,111958
522,284,114262
523,282,139426
524,280,139313
525,281,138058
526,282,112693
527,282,119421
528,281,137409
529,282,134615
530,282,130205
531,282,122592
532,283,130228
533,283,124216
534,281,130809
535,281,139326
536,282,152369
537,282,127805
538,284,117698
539,284,129562
540,282,126587
541,282,115330
542,281,118880
543,284,112831
544,284,115613
545,284,142629
546,282,143025
547,283,103217
548,283,127391
549,284,129553
550,282,126320
551,282,126473
552,283,125622
553,282,115057
554,280,116835
555,280,131485
556,282,136394
557,284,136346
558,287,117757
559,286,131876
560,286,122261
561,285,119538
562,284,129446
563,283,116064
564,284,120944
565,284,109799
566,286,108396
567,284,110441
568,285,125902
569,286,113493
570,288,116974
571,288,128421
572,290,127348
573,289,116201
574,289,122892
575,289,132854
576,286,141256
577,288,130559
578,289,112612
579,290,113568
580,292,121697
581,293,127469
582,294,113649
583,292,122030
584,293,116791
585,292,129103
586,292,110164
587,291,129528
588,290,112636
589,288,131116
590,288,127521
591,288,116052
592,288,125458
593,289,120035
594,286,119713
595,287,132842
596,287,130501
597,285,113433
598,285,131829
599,286,119376
600,287,142479
601,287,118855
602,287,123923
603,286,122791
604,286,123561
605,287,107078
606,288,119649
607,287,119621
608,286,108942
609,286,125615
610,288,105029
611,288,113884
612,285,118638
613,285,119329
614,287,105579
615,288,122632
616,288,109846
617,286,121766
618,289,137566
619,288,122164
620,287,124060
621,287,124801
622,289,121047
623,289,143626
624,287,122885
625,288,121808
626,288,125595
627,289,130281
628,288,116561
629,290,121852
630,288,132706
631,290,119804
632,288,133318
633,289,127975
634,290,137090
635,290,121255
636,288,122611
637,288,135748
638,288,130253
639,290,130924
640,291,123076
641,291,126670
642,290,115347
643,292,130199
644,291,148330
645,292,125465
646,291,122625
647,295,119213
648,295,144222
649,294,129051
650,295,103788
651,294,128383
652,296,117936
653,295,133139
654,297,120782
655,299,135200
656,299,123290
657,299,122354
658,299,108241
659,299,118813
660,297,133064
661,294,128007
662,295,131684
663,293,120805
664,292,114689
665,292,130234
666,291,124590
667,290,110571
668,290,124508
669,290,139011
670,290,121845
