时间,价格,数量
0,13,427000
1,17,431944
2,21,390905
3,26,350942
4,36,585815
5,37,643078
6,41,374419
7,45,292613
8,58,400085
9,58,574496
10,60,346640
11,62,276417
12,64,293378
13,68,332620
14,68,357330
15,71,277184
16,84,477830
17,81,560053
18,82,289203
19,84,314654
20,90,393424
21,94,212398
22,97,218556
23,100,201485
24,104,183056
25,105,209578
26,110,232680
27,115,192485
28,107,436748
29,105,232928
30,103,249317
31,103,228253
32,102,271005
33,101,205579
34,99,222621
35,97,299076
36,97,244335
37,100,289670
38,128,466776
39,113,578314
40,111,237551
41,111,246782
42,111,236465
43,110,219689
44,109,231877
45,108,242467
46,106,232498
47,108,274730
48,108,225043
49,108,270267
50,111,283092
51,112,229429
52,121,385857
53,127,182363
54,133,182875
55,137,173324
56,131,438966
57,131,188638
58,125,274247
59,122,217103
60,120,210246
61,118,220761
62,117,221192
63,116,241856
64,118,317844
65,117,266884
66,117,209698
67,117,197753
68,122,297610
69,125,213799
70,125,257151
71,128,202560
72,138,309186
73,143,210694
74,149,164696
75,152,163004
76,150,274513
77,153,210977
78,155,190751
79,149,282909
80,149,219642
81,145,229845
82,151,328122
83,140,361670
84,149,375918
85,149,184208
86,141,350559
87,135,250715
88,132,191245
89,129,234242
90,127,206870
91,126,226943
92,126,212036
93,125,226657
94,125,185060
95,122,236179
96,119,207249
97,128,409466
98,131,211445
99,138,246014
100,144,188002
101,146,203684
102,150,182995
103,155,183192
104,160,192399
105,180,253462
106,190,125328
107,199,159184
108,207,117458
109,215,123309
110,223,156055
111,247,172820
112,259,83728
113,266,153680
114,281,117180
115,287,148418
116,295,84759
117,304,87440
118,326,112417
119,340,104941
120,332,272126
121,330,118879
122,328,117594
123,325,115823
124,312,167291
125,305,94690
126,306,160808
127,304,118870
128,300,117366
129,301,135240
130,284,194356
131,278,123394
132,261,152899
133,251,90203
134,241,103783
135,237,172318
136,232,118352
137,230,132569
138,227,119902
139,217,164743
140,208,95316
141,200,126722
142,193,120172
143,194,192396
144,154,262084
145,152,236573
146,150,152992
147,147,165346
148,145,136458
149,143,173134
150,141,148539
151,129,230368
152,138,344263
153,139,172355
154,142,158677
155,142,188163
156,140,139874
157,141,189267
158,125,318885
159,132,353573
160,132,176500
