时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,114000,0
8,114000,114000,0
9,114000,114000,0
10,114000,114000,0
11,114000,114000,0
12,114000,114000,0
13,114000,114000,0
14,114000,114000,0
15,114000,114000,0
16,114000,96,1008
17,120048,120048,0
18,120048,120048,0
19,120048,120048,0
20,120048,912,876
21,125304,912,876
22,130560,912,876
23,134940,147,881
24,139345,147,881
25,142869,147,881
26,146393,147,881
27,150798,147,881
28,154322,154322,0
29,154322,6760,829
30,157638,6760,829
31,160954,6760,829
32,165099,6760,829
33,169244,488,861
34,171827,90,863
35,175279,90,863
36,180457,180457,0
37,180457,180457,0
38,180457,14104,781
39,182800,14104,781
40,185143,526,843
41,187672,526,843
42,191887,526,843
43,191887,72,845
44,193577,72,845
45,197802,72,845
46,201182,201182,0
47,201182,22649,747
48,202676,718,838
49,205190,718,838
50,206866,718,838
51,207704,718,838
52,207704,224,840
53,207704,224,840
54,209384,224,840
55,211064,224,840
56,211904,211904,0
57,211904,2496,818
58,211904,2496,818
59,211904,448,826
60,212730,448,826
61,211904,192,827
62,211077,192,827
63,211904,192,827
64,211904,192,827
65,211904,192,827
66,212731,192,827
67,213558,192,827
68,216039,192,827
69,217693,192,827
70,218520,192,827
71,221001,192,827
72,221828,192,827
73,221828,192,827
74,223482,192,827
75,224309,192,827
76,224309,192,827
77,226790,192,827
78,226790,226790,0
79,226790,226790,0
80,226790,226790,0
81,226790,226790,0
82,226790,226790,0
83,226790,226790,0
84,226790,15390,755
85,228300,228300,0
86,228300,228300,0
87,228300,228300,0
88,228300,228300,0
89,228300,228300,0
90,228300,4062,798
91,229098,4062,798
92,228300,4062,798
93,229098,4062,798
94,228300,128,812
95,225052,128,812
96,223428,128,812
97,222616,128,812
98,222616,222616,0
99,222616,222616,0
100,222616,7192,792
101,224200,7192,792
102,224992,592,816
103,223360,592,816
104,222544,320,817
105,224178,46,818
106,224996,224996,0
107,224996,13194,773
108,224223,13194,773
109,224996,13194,773
110,225769,1094,817
111,227403,1094,817
112,228220,260,820
113,227400,260,820
114,227400,260,820
115,229860,260,820
116,230680,260,820
117,230680,260,820
118,231500,260,820
119,230680,260,820
120,229860,260,820
121,229040,260,820
122,228220,260,820
123,229040,260,820
124,229860,260,820
125,230680,260,820
126,232320,260,820
127,231500,260,820
128,233140,260,820
129,233140,260,820
130,232320,260,820
131,232320,260,820
132,230680,260,820
133,230680,230680,0
134,230680,230680,0
135,230680,230680,0
136,230680,2458,818
137,229862,234,826
138,229036,234,826
139,231514,234,826
140,231514,234,826
141,229862,234,826
142,229036,234,826
143,230688,234,826
144,231514,234,826
145,230688,230688,0
146,230688,14960,776
147,229136,14960,776
148,230688,14960,776
149,229912,556,828
150,230740,230740,0
151,230740,4972,818
152,229922,4972,818
153,229922,572,834
154,230756,20,836
155,230756,20,836
156,232428,20,836
157,232428,20,836
158,231592,20,836
159,232428,20,836
160,231592,20,836
161,233264,20,836
162,233264,20,836
163,234100,20,836
164,233264,20,836
165,234100,20,836
166,233264,20,836
167,233264,20,836
168,233264,20,836
169,232428,20,836
170,231592,20,836
171,231592,231592,0
172,231592,231592,0
173,231592,231592,0
174,231592,231592,0
175,231592,231592,0
176,231592,231592,0
177,231592,231592,0
178,231592,231592,0
179,231592,28,839
180,231592,28,839
181,232431,28,839
182,232431,28,839
183,233270,233270,0
184,233270,233270,0
185,233270,3364,827
186,233270,3364,827
187,234924,3364,827
188,235751,3364,827
189,235751,273,838
190,235751,273,838
