股东序号,市值,资金,持仓
1,214647,214647,0
2,390722,122,1400
3,143677,271,514
4,561801,174,2013
5,915274,915274,0
6,191618,224,686
7,359924,14,1290
8,306281,776,1095
9,198316,12781,665
10,296700,123,1063
11,567200,272,2032
12,372632,13001,1289
13,1148370,3354,4104
14,213909,195,766
15,279138,138,1000
16,618907,2596,2209
17,342559,784,1225
18,509937,204,1827
19,364147,610,1303
20,448246,172,1606
21,166769,206,597
22,247871,247871,0
23,325354,40,1166
24,240583,85,862
25,677596,1300,2424
26,371236,24997,1241
27,203986,203986,0
28,214822,271,769
29,396939,11082,1383
30,462806,16127,1601
31,190853,17,684
32,408980,245,1465
33,179082,3312,630
34,210043,210043,0
35,290943,225,1042
36,376446,14304,1298
37,232693,7,834
38,563602,580,2018
39,194997,255,698
40,388600,388600,0
41,756112,22,2710
42,308041,25414,1013
43,391347,189,1402
44,326798,89,1171
45,310313,310313,0
46,258827,194,927
47,343595,425,1230
48,208722,208722,0
49,218628,218628,0
50,615187,82297,1910
51,233297,332,835
52,298796,2219,1063
53,503879,22604,1725
54,398720,29,1429
55,311217,311217,0
56,340851,192,1221
57,208232,98,746
58,628819,9160,2221
59,281210,17276,946
60,308593,308593,0
61,495924,495924,0
62,200295,200295,0
63,818695,47260,2765
64,699711,258,2507
65,267897,1173,956
66,649781,649781,0
67,194595,132,697
68,740572,740572,0
69,431653,40,1547
70,523206,81,1875
71,207470,5195,725
72,329668,329668,0
73,344464,178,1234
74,359336,263,1287
75,306564,306564,0
76,546480,198,1958
77,406362,406362,0
78,320090,1472,1142
79,302029,151,1082
80,436110,436110,0
81,375795,261,1346
82,448546,448546,0
83,293698,293698,0
84,503695,100,1805
85,193448,1496,688
86,632630,137,2267
87,639037,639037,0
88,254072,254072,0
89,455583,255,1632
90,400452,87,1435
91,677449,1432,2423
92,301664,65,1081
93,519037,21580,1783
94,283482,8946,984
95,839428,196,3008
96,406919,137,1458
97,326364,213,1169
98,231647,914,827
99,290546,1502,1036
100,200097,54,717
101,290345,185,1040
102,228623,680,817
103,348908,14666,1198
104,229439,229439,0
105,266278,112,954
106,612173,1442,2189
107,249752,47,895
108,565181,565181,0
109,191593,191593,0
110,196528,13783,655
111,648687,12,2325
112,209633,209633,0
113,312110,13022,1072
114,1037105,1037105,0
115,360690,360690,0
116,409962,390,1468
117,304241,16592,1031
118,255176,1007,911
119,349587,558,1251
120,206454,273,739
121,333064,1612,1188
122,366001,232,1311
123,434736,434736,0
124,615028,112,2204
125,199417,211,714
126,321200,1745,1145
127,159150,120,570
128,351089,351089,0
129,259647,177,930
130,459345,459345,0
131,343505,56,1231
132,375667,133,1346
133,148176,27,531
134,781783,781783,0
135,675144,675144,0
136,641987,1124,2297
137,182139,182139,0
138,352220,12398,1218
139,1362691,55,4884
140,234561,201,840
141,476588,476588,0
142,240380,2672,852
143,320477,11345,1108
144,544202,544202,0
145,186823,172,669
146,216594,90,776
147,351482,221,1259
148,731709,46764,2455
149,210962,210962,0
150,465340,465340,0
151,485052,150,1738
152,378265,499,1354
153,287327,236,1029
154,312636,312636,0
155,385919,62,1383
156,310349,310349,0
157,175965,474,629
158,558369,90,2001
159,409542,249,1467
160,230010,10995,785
161,395332,268,1416
162,454492,6697,1605
163,434195,10673,1518
164,181879,8341,622
165,371889,261,1332
166,568894,13,2039
167,247133,218,885
168,313352,314,1122
169,342216,342216,0
170,230030,28313,723
171,429989,50,1541
172,243152,243152,0
173,448086,448086,0
174,226246,256,810
175,378373,49,1356
176,184880,182,662
177,368574,852,1318
178,210577,2164,747
179,242728,277,869
180,380578,380578,0
181,157029,231,562
182,541405,145,1940
183,426279,246,1527
184,572685,52350,1865
185,490460,257,1757
186,199811,326,715
187,273330,14139,929
188,920650,19480,3230
189,273931,1069,978
190,396794,56,1422
191,816688,91288,2600
192,217197,135,778
193,362898,37584,1166
194,300124,300124,0
195,1277131,1277131,0
196,339949,406,1217
197,223225,25,800
198,478111,26131,1620
199,331329,156,1187
200,402535,775,1440
201,238329,63,854
202,792016,214,2838
203,379444,379444,0
204,196119,261,702
205,219203,188,785
206,189909,189,680
207,858854,26876,2982
208,597162,102,2140
209,239205,102,857
210,356846,356846,0
211,211173,249,756
212,433072,26290,1458
213,443870,443870,0
214,252475,259,904
215,489221,489221,0
216,380556,279,1363
217,267698,6554,936
218,242699,248,869
219,165404,236,592
220,498696,498696,0
221,139610,110,500
222,390521,200,1399
223,377085,377085,0
224,316293,316293,0
225,484214,484214,0
226,347402,47,1245
227,359527,359527,0
228,227439,227439,0
229,200223,180,717
230,348501,588,1247
231,513459,10980,1801
232,175451,3308,617
233,634124,236,2272
234,646848,646848,0
235,229880,8075,795
236,318342,318342,0
237,276691,202,991
238,294370,25,1055
239,386053,23632,1299
240,157320,243,563
241,358573,1174,1281
242,509609,155,1826
243,635453,56249,2076
244,225172,225172,0
245,550378,469,1971
246,408105,2439,1454
247,761987,761987,0
248,285017,158,1021
249,518604,11103,1819
250,253594,2773,899
251,220400,21473,713
252,262168,187,939
253,844963,151,3028
254,293923,6274,1031
255,320115,102,1147
256,660547,660547,0
257,434275,151,1556
258,363534,276,1302
259,506658,1110,1812
260,286419,165,1026
261,224286,528,802
262,918079,169,3290
263,396770,396770,0
264,442617,442617,0
265,505952,683,1811
266,246146,905,879
267,587435,245660,1225
268,676489,47623,2254
269,515205,171,1846
270,277698,1488,990
271,256356,234,918
272,254705,257,912
273,281208,281208,0
274,295685,13337,1012
275,270669,13152,923
276,565602,69,2027
277,217528,3256,768
278,311318,233,1115
279,329680,181,1181
280,295365,183,1058
281,239231,128,857
282,221536,221536,0
283,355545,355545,0
284,235244,605,841
285,482175,63,1728
286,323416,55,1159
287,489333,489333,0
288,451837,415,1618
289,609803,78308,1905
290,421421,421421,0
291,236384,236384,0
292,215115,215115,0
293,277284,277284,0
294,405957,12,1455
295,322849,325,1156
296,255546,261,915
297,251002,181,899
298,235404,207,843
299,259039,22168,849
300,628225,196,2251
301,277677,72,995
302,184124,263,659
303,427688,1655,1527
304,440687,983,1576
305,298729,199,1070
306,574244,32984,1940
307,451338,195,1617
308,195907,49,702
309,243440,243440,0
310,202845,570,725
311,251331,251331,0
312,236583,270,847
313,908701,277,3256
314,313565,248,1123
315,734233,734233,0
316,459624,111,1647
317,381668,27896,1268
318,459138,183,1645
319,265325,275,950
320,230985,252,827
321,378538,214,1356
322,251554,175,901
323,400604,239,1435
324,236788,754,846
325,391458,21,1403
326,608670,3240,2170
327,324968,212,1164
328,162796,139,583
329,203774,11264,690
330,249388,241,893
331,454344,454344,0
332,310600,73,1113
333,1431672,123,5131
334,322548,24,1156
335,291364,88,1044
336,237623,194,851
337,479800,1036,1716
338,670285,127,2402
339,398235,102,1427
340,544311,261,1950
341,316730,623,1133
342,567905,567905,0
343,231013,231013,0
344,234160,234160,0
345,317972,191,1139
346,267735,174,959
347,406562,338,1456
348,391312,391312,0
349,421206,195,1509
350,277895,277895,0
351,269617,269617,0
352,506378,506378,0
353,267726,267726,0
354,373686,373686,0
355,213833,677,764
356,275298,275298,0
357,405401,12848,1407
358,1208031,240,4329
359,338164,338164,0
360,476052,476052,0
361,1091540,92,3912
362,271530,63,973
363,268856,179,963
364,307245,624,1099
365,579102,177,2075
366,368377,97,1320
367,257126,257126,0
368,564703,54970,1827
369,284714,971,1017
370,404242,404242,0
371,212219,2411,752
372,251826,251826,0
373,315196,205,1129
374,275430,2010,980
375,1186684,760372,1528
376,408081,408081,0
377,304802,14642,1040
378,510589,510589,0
379,180140,185,645
380,287305,287305,0
381,260026,277,931
382,366602,275,1313
383,214425,153,768
384,200742,141,719
385,433448,18017,1489
386,447108,447108,0
387,464548,464548,0
388,241917,24,867
389,341673,1014,1221
390,387889,358,1389
391,636016,175,2279
392,224319,282,803
393,525175,97,1882
394,419345,29582,1397
395,248690,8750,860
396,691974,54,2480
397,570253,256,2043
398,238792,238792,0
399,246984,906,882
400,205446,102,736
401,238208,5243,835
402,278866,145,999
403,480684,5268,1704
404,242125,232,867
405,363598,61,1303
406,637788,273,2285
407,333178,21256,1118
408,177912,189,637
409,344364,636,1232
410,345527,345527,0
411,377149,377149,0
412,557797,76,1999
413,490909,148,1759
414,185782,247,665
415,228792,228792,0
416,323700,1176,1156
417,276431,27005,894
418,186895,244,669
419,342732,120,1228
420,279027,279027,0
421,297036,180,1064
422,811593,811593,0
423,181990,181990,0
424,484343,278,1735
425,385065,45,1380
426,304215,105,1090
427,348854,104,1250
428,418266,34641,1375
429,280883,209,1006
430,312161,312161,0
431,295046,143,1057
432,293534,1700,1046
433,219649,76,787
434,221672,221672,0
435,174947,174947,0
436,292864,193,1049
437,294129,63,1054
438,364352,21182,1230
439,465601,465601,0
440,280231,115,1004
441,348434,242,1248
442,168039,81,602
443,233987,233987,0
444,279809,251,1002
445,219790,217,787
446,277497,8820,963
447,365064,32217,1193
448,395174,110,1416
449,188129,83,674
450,444145,256,1591
451,651780,36,2336
452,361315,289,1294
453,271518,271518,0
454,316780,34432,1012
455,358304,68,1284
456,213034,157,763
457,416925,99,1494
458,301593,273,1080
459,289078,34,1036
460,165173,284,591
461,1367667,4752,4885
462,232681,232681,0
463,229188,129,821
464,259023,111,928
465,280199,280199,0
466,410421,12,1471
467,243116,10988,832
468,195198,177,699
469,270823,193,970
470,316351,20332,1061
471,205986,84,738
472,248682,248682,0
473,593949,795,2126
474,233378,233378,0
475,275816,21089,913
476,241303,247,864
477,723377,27551,2494
478,902735,170,3235
479,243570,282,872
480,289270,289270,0
481,442564,70,1586
482,145169,89,520
483,376204,376204,0
484,505100,21035,1735
485,766052,53765,2553
486,272923,1177,974
487,219635,219635,0
488,153753,153753,0
489,1825637,140,6543
490,170237,47,610
491,294045,258,1053
492,567015,567015,0
493,222664,22,798
494,964629,126,3457
495,378352,378352,0
496,348622,348622,0
497,271112,203,971
